implementation,platform,security,benchmark,n,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high,cv_pct,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us
rust,rpi5,off,codec-decode,30,196504.7033333333,194.8483202892441,196431.9457748003,196577.46089186633,0.09915707715083061,4.6143333333333345,0.1376666666666667,4.610666666666669,4.683666666666667,4.721333333333333,4.43,149.72
rust,rpi5,off,codec-encode,30,58607.37333333333,45.703474049900656,58590.30737565193,58624.43929101473,0.07798246440760809,16.568333333333335,0.22033333333333333,16.55666666666667,16.68466666666667,16.763333333333332,16.26,116.43
rust,rpi5,off,rx,30,30102.260000000002,2013.088830902265,29350.560276701908,30853.959723298096,6.687500642484203,5.558999999999999,1.351,4.820333333333334,8.090333333333334,9.083,3.94,929.85
rust,rpi5,off,tx,30,34072.823333333334,216.07438004688058,33992.13983382763,34153.50683283904,0.634154610356271,28.851666666666667,0.9763333333333333,28.68066666666666,29.538333333333334,33.501999999999995,27.19,770.33
rust,rpi5,on,rx,30,1466.3266666666673,5.8893201605977366,1464.127558377367,1468.5257749559676,0.40163766331725087,697.6273333333334,7.514666666666665,696.5646666666667,703.0803333333333,709.1199999999998,691.72,12103.42
rust,rpi5,on,security-sign,30,2401.4566666666665,1.5912873412111175,2400.862470208113,2402.05086312522,0.06626342100188293,415.8483333333334,1.2546666666666666,415.65833333333336,417.20466666666664,417.8596666666666,414.81,603.59
rust,rpi5,on,security-verify,30,1457.7066666666672,1.0881598935923824,1457.3003410846256,1458.1129922487087,0.07464875605465084,685.4373333333334,1.4130000000000005,685.0406666666667,687.2696666666666,688.0930000000002,683.67,1185.65
rust,rpi5,on,tx,30,2386.94,3.5178951387010944,2385.6263963667375,2388.2536036332626,0.1473809621817513,418.4336666666667,77.91633333333334,414.91799999999995,421.434,423.14033333333333,20.63,28887.65
rust-cv2x,mk6,off,codec-decode,30,26874.603333333336,267.9610194030844,26774.545044276267,26974.661622390406,0.9970789748205314,36.58633333333333,3.8106666666666658,36.223333333333336,36.71533333333334,48.564,34.75,1070.71
rust-cv2x,mk6,off,codec-encode,30,7913.343333333334,85.225209494218,7881.519717101699,7945.166949564969,1.0769810673476572,125.72833333333332,7.430000000000001,124.15400000000002,130.8553333333333,165.03333333333336,121.51,880.07
rust-cv2x,mk6,off,rx,30,1426.0800000000002,24.72650957701206,1416.846969583336,1435.3130304166643,1.733879556337096,57.89533333333334,21.831666666666667,51.35700000000001,98.65800000000003,124.76800000000001,36.0,5316.16
rust-cv2x,mk6,off,tx,30,4706.473333333332,92.64614525108459,4671.8786941495955,4741.067972517069,1.9684833778813422,211.66199999999998,202.62066666666672,193.12266666666673,251.60200000000006,389.943,162.64,14688.51
rust-cv2x,mk6,on,rx,30,117.70666666666666,10.2786666696487,113.8685494545289,121.54478387880442,8.732442231803947,3322.1060000000007,487.6943333333334,3079.117666666667,4269.232,4481.665333333333,2943.61,14385.27
rust-cv2x,mk6,on,security-sign,30,571.9200000000001,0.3556441460514948,571.7872002933624,572.0527997066378,0.06218424710649999,1747.1633333333334,40.31233333333333,1731.5663333333334,1839.1539999999998,1885.851333333333,1712.01,3317.51
rust-cv2x,mk6,on,security-verify,30,337.0066666666668,0.3382850596895963,336.8803489494051,337.13298438392843,0.10037933760645573,2965.7230000000004,92.86333333333336,2921.319333333333,3162.7603333333336,3214.169666666667,2883.36,6443.27
rust-cv2x,mk6,on,tx,30,471.51,1.1812763407024889,471.0689041651745,471.9510958348255,0.25053049579064895,2119.4669999999996,543.0416666666667,2003.7240000000004,2384.6113333333333,4842.211333333335,1928.28,15109.18
